source,slug,status,severity,score,summary,issues
database,asset-spending-track-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-stock-buy-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-stock-sell-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,asset-tax-deduction-wave6,draft,Pass,90,results=16/16; avgSummary=135; thinRows=0,
database,asset-wealth-record-wave6,draft,Pass,90,results=16/16; avgSummary=137; thinRows=0,
database,bakery-tray-route-A21b,draft,P1,40,results=16/16; avgSummary=135; thinRows=16,P1 thin result rows: 16
database,boardgame-rule-reading-2OC3,draft,P1,40,results=16/16; avgSummary=131; thinRows=16,P1 thin result rows: 16
database,bond-club-greet-wave5,draft,Pass,90,results=16/16; avgSummary=161; thinRows=0,
database,bond-cousin-call-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-friend-distance-wave5,draft,Pass,90,results=16/16; avgSummary=162; thinRows=0,
database,bond-friend-parent-wave5,draft,Pass,90,results=16/16; avgSummary=158; thinRows=0,
database,bond-friend-quarrel-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-friend-wedding-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,bond-greet-length-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-holiday-message-wave5,draft,Pass,90,results=16/16; avgSummary=158; thinRows=0,
database,bond-inlaw-title-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-junior-care-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-kind-thanks-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-new-colleague-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-new-family-wave5,draft,Pass,90,results=16/16; avgSummary=160; thinRows=0,
database,bond-old-classmate-wave5,draft,Pass,90,results=16/16; avgSummary=154; thinRows=0,
database,bond-parent-check-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-parent-meet-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,bond-partner-promise-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-reconcile-step-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-relative-meet-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-secret-share-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-senior-care-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-shared-meal-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-sibling-tone-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-soft-refusal-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-wellbeing-card-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,book-bookmark-style-pHPe,draft,P1,40,results=16/16; avgSummary=130; thinRows=16,P1 thin result rows: 16
database,brand-switching-style-9L8v,draft,P1,40,results=16/16; avgSummary=130; thinRows=16,P1 thin result rows: 16
database,budget-rounding-style-Zllz,draft,P1,40,results=16/16; avgSummary=132; thinRows=16,P1 thin result rows: 16
database,buffet-first-plate-_yYp,draft,P1,40,results=16/16; avgSummary=136; thinRows=16,P1 thin result rows: 16
database,buy-after-ad-wave5,draft,Pass,90,results=16/16; avgSummary=149; thinRows=0,
database,buy-after-impulse-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-collection-start-wave5,draft,Pass,90,results=16/16; avgSummary=147; thinRows=0,
database,buy-color-pick-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-demo-try-wave5,draft,Pass,90,results=16/16; avgSummary=145; thinRows=0,
database,buy-eco-tag-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
