slug,source,severity,score,recommendedFix,issues
care-phone-away-wave5,database-only,Pass,95,유지,
care-plant-look-wave5,database-only,Pass,95,유지,
care-rest-signal-wave5,database-only,Pass,95,유지,
care-scent-breath-wave5,database-only,Pass,95,유지,
care-self-soothe-wave5,database-only,Pass,95,유지,
care-short-walk-wave5,database-only,Pass,95,유지,
care-sun-five-wave5,database-only,Pass,95,유지,
care-tidy-one-min-wave5,database-only,Pass,95,유지,
care-visualize-scene-wave5,database-only,Pass,95,유지,
care-walk-meditate-wave5,database-only,Pass,95,유지,
care-warm-water-wave5,database-only,Pass,95,유지,
career-after-party-wave5,database-only,Pass,95,유지,
career-approval-hold-wave5,database-only,Pass,95,유지,
career-board-use-wave5,database-only,Pass,95,유지,
career-business-trip-wave5,database-only,Pass,95,유지,
career-commute-route-wave5,database-only,Pass,95,유지,
career-company-event-wave5,database-only,Pass,95,유지,
career-desk-tidy-wave5,database-only,Pass,95,유지,
career-external-meet-wave5,database-only,Pass,95,유지,
career-first-greet-wave5,database-only,Pass,95,유지,
career-hr-review-wave5,database-only,Pass,95,유지,
career-leave-apply-wave5,database-only,Pass,95,유지,
career-lunch-invite-wave5,database-only,Pass,95,유지,
career-lunch-pick-wave5,database-only,Pass,95,유지,
career-mail-tone-wave5,database-only,Pass,95,유지,
career-meeting-seat-wave5,database-only,Pass,95,유지,
career-new-mentor-wave5,database-only,Pass,95,유지,
career-next-week-plan-wave5,database-only,Pass,95,유지,
career-off-time-protect-wave5,database-only,Pass,95,유지,
career-overtime-call-wave5,database-only,Pass,95,유지,
career-progress-share-wave5,database-only,Pass,95,유지,
career-rest-timing-wave5,database-only,Pass,95,유지,
career-schedule-change-wave5,database-only,Pass,95,유지,
career-slack-reply-wave5,database-only,Pass,95,유지,
career-title-call-wave5,database-only,Pass,95,유지,
career-workshop-join-wave5,database-only,Pass,95,유지,
cart-abandon-style-N3j0,database-only,P1,40,SEO/목차/관련 링크/문구 품질 보강,P1 DB thin result rows: 16
choice-appointment-reschedule,database-only,Pass,95,유지,
choice-crowded-place-response,database-only,Pass,95,유지,
choice-daily-route-change,database-only,Pass,95,유지,
choice-elevator-wait-choice,database-only,Pass,95,유지,
choice-lost-and-found-action,database-only,Pass,95,유지,
